Opponent,Location,Team Score,Opponent Score,Goal Differential
Leicester City,Home,5,1,4
Southampton,Away,1,1,0
Wolverhampton,Away,1,0,1
Newcastle United,Home,4,1,3
West Ham,Away,2,1,1
Aston Villa,Home,0,1,-1
Everton,Home,1,1,0
Leeds United,Away,2,4,-2
Liverpool,Home,0,5,-5
Tottenham,Away,3,0,3
Manchester City,Home,0,2,-2
Watford,Away,1,4,-3
Chelsea,Away,1,1,0
Arsenal,Home,3,2,1
Crystal Palace,Home,1,0,1
Norwich,Away,1,0,1
Newcastle United,Away,1,1,0
Burnley,Home,3,1,2
Wolverhampton,Home,0,1,-1
Aston Villa,Away,2,2,0
Brentford,Away,3,1,2
West Ham,Home,1,0,1
Burnley,Away,1,1,0
Southampton,Home,1,1,0
Brighton,Home,2,0,2
Leicester City,Away,4,2,2
Watford,Home,0,0,0
Manchester City,Away,1,4,-3
Tottenham,Home,3,2,1
Leeds United,Home,1,1,0
Everton,Away,0,1,-1
Norwich,Home,3,2,1
Liverpool,Away,0,4,-4
Arsenal,Away,1,3,-2
Chelsea,Home,1,1,0
Brentford,Home,3,0,3
Brighton,Away,0,4,-4
Crystal Palace,Away,0,1,-1
