Opponent,Location,Team Score,Opponent Score,Goal Differential
Leeds United,Away,2,2,0
Manchester United,Home,4,0,4
Fulham,Away,2,3,-1
Everton,Home,1,1,0
Crystal Palace,Away,1,1,0
Leicester City,Home,5,2,3
Arsenal,Home,0,3,-3
Bournemouth,Away,0,0,0
Newcastle United,Away,1,5,-4
Brighton,Home,2,0,2
Chelsea,Home,0,0,0
Aston Villa,Away,0,4,-4
Wolverhampton,Home,1,1,0
Nottingham Forest,Away,2,2,0
Manchester City,Away,2,1,1
Tottenham,Home,2,2,0
West Ham,Away,2,0,2
Liverpool,Home,3,1,2
Bournemouth,Home,2,0,2
Leicester City,Away,0,0,0
Southampton,Home,3,0,3
Arsenal,Away,1,1,0
Crystal Palace,Home,1,1,0
Fulham,Home,3,2,1
Everton,Away,0,1,-1
Southampton,Away,2,0,2
Leeds United,Home,1,1,0
Brighton,Away,3,3,0
Manchester United,Away,0,1,-1
Newcastle United,Home,1,2,-1
Wolverhampton,Away,0,2,-2
Aston Villa,Home,1,1,0
Chelsea,Away,2,0,2
Nottingham Forest,Home,2,1,1
Liverpool,Away,0,1,-1
West Ham,Home,2,0,2
Tottenham,Away,3,1,2
Manchester City,Home,1,0,1
