Opponent,Location,Team Score,Opponent Score,Goal Differential
Manchester United,Away,2,1,1
Newcastle United,Home,0,0,0
West Ham,Away,2,0,2
Leicester City,Home,1,0,1
Fulham,Away,1,2,-1
Leeds United,Home,5,2,3
Liverpool,Away,3,3,0
Tottenham,Home,0,1,-1
Brentford,Away,0,2,-2
Nottingham Forest,Home,0,0,0
Manchester City,Away,1,3,-2
Chelsea,Home,4,1,3
Wolverhampton,Away,3,2,1
Aston Villa,Home,1,2,-1
Southampton,Away,3,1,2
Arsenal,Home,2,4,-2
Everton,Away,4,1,3
Liverpool,Home,3,0,3
Leeds United,Away,2,2,0
Bournemouth,Home,1,0,1
Crystal Palace,Away,1,1,0
Fulham,Home,0,1,-1
West Ham,Home,4,0,4
Leicester City,Away,2,2,0
Crystal Palace,Home,1,0,1
Brentford,Home,3,3,0
Bournemouth,Away,2,0,2
Tottenham,Away,1,2,-1
Chelsea,Away,2,1,1
Nottingham Forest,Away,1,3,-2
Wolverhampton,Home,6,0,6
Manchester United,Home,1,0,1
Everton,Home,1,5,-4
Arsenal,Away,3,0,3
Newcastle United,Away,1,4,-3
Southampton,Home,3,1,2
Manchester City,Home,1,1,0
Aston Villa,Away,1,2,-1
