Opponent,Location,Team Score,Opponent Score,Goal Differential
Liverpool,Home,1,1,0
West Ham,Away,1,3,-2
Luton,Home,3,0,3
Nottingham Forest,Home,0,1,-1
Bournemouth,Away,0,0,0
Aston Villa,Home,0,1,-1
Fulham,Away,2,0,2
Burnley,Away,4,1,3
Arsenal,Home,2,2,0
Brentford,Home,0,2,-2
Tottenham,Away,4,1,3
Manchester City,Home,4,4,0
Newcastle United,Away,1,4,-3
Brighton,Home,3,2,1
Manchester United,Away,1,2,-1
Everton,Away,0,2,-2
Sheffield,Home,2,0,2
Wolverhampton,Away,1,2,-1
Crystal Palace,Home,2,1,1
Luton,Away,3,2,1
Fulham,Home,1,0,1
Liverpool,Away,1,4,-3
Wolverhampton,Home,2,4,-2
Crystal Palace,Away,3,1,2
Manchester City,Away,1,1,0
Brentford,Away,2,2,0
Newcastle United,Home,3,2,1
Burnley,Home,2,2,0
Manchester United,Home,4,3,1
Sheffield,Away,2,2,0
Everton,Home,6,0,6
Arsenal,Away,0,5,-5
Aston Villa,Away,2,2,0
Tottenham,Home,2,0,2
West Ham,Home,5,0,5
Nottingham Forest,Away,3,2,1
Brighton,Away,2,1,1
Bournemouth,Home,2,1,1
