Opponent,Location,Team Score,Opponent Score,Goal Differential
Sheffield,Away,1,0,1
Arsenal,Home,0,1,-1
Brentford,Away,1,1,0
Wolverhampton,Home,3,2,1
Aston Villa,Away,1,3,-2
Fulham,Home,0,0,0
Manchester United,Away,1,0,1
Nottingham Forest,Home,0,0,0
Newcastle United,Away,0,4,-4
Tottenham,Home,1,2,-1
Burnley,Away,2,0,2
Everton,Home,2,3,-1
Luton,Away,1,2,-1
West Ham,Away,1,1,0
Bournemouth,Home,0,2,-2
Liverpool,Home,1,2,-1
Manchester City,Away,2,2,0
Brighton,Home,1,1,0
Chelsea,Away,1,2,-1
Brentford,Home,3,1,2
Arsenal,Away,0,5,-5
Sheffield,Home,3,2,1
Brighton,Away,1,4,-3
Chelsea,Home,1,3,-2
Everton,Away,1,1,0
Burnley,Home,3,0,3
Tottenham,Away,1,3,-2
Luton,Home,1,1,0
Nottingham Forest,Away,1,1,0
Bournemouth,Away,0,1,-1
Manchester City,Home,2,4,-2
Liverpool,Away,1,0,1
West Ham,Home,5,2,3
Newcastle United,Home,2,0,2
Fulham,Away,1,1,0
Manchester United,Home,4,0,4
Wolverhampton,Away,3,1,2
Aston Villa,Home,5,0,5
