Opponent,Location,Team Score,Opponent Score,Goal Differential
Wolverhampton,Home,1,0,1
West Ham,Away,1,4,-3
Norwich,Away,2,1,1
Manchester City,Home,0,1,-1
Brighton,Away,1,2,-1
Burnley,Home,2,2,0
Crystal Palace,Away,2,2,0
Manchester United,Home,4,2,2
Brentford,Away,2,1,1
Arsenal,Home,0,2,-2
Leicester City,Away,1,1,0
Chelsea,Home,0,3,-3
Watford,Home,4,2,2
Southampton,Away,2,2,0
Aston Villa,Away,1,2,-1
Newcastle United,Home,4,0,4
Manchester City,Away,3,6,-3
Liverpool,Home,1,0,1
Tottenham,Home,2,3,-1
Brighton,Home,1,1,0
Liverpool,Away,0,2,-2
West Ham,Home,2,2,0
Wolverhampton,Away,1,2,-1
Burnley,Away,2,0,2
Leicester City,Home,1,0,1
Arsenal,Away,0,2,-2
Brentford,Home,2,1,1
Manchester United,Away,1,1,0
Crystal Palace,Home,2,1,1
Newcastle United,Away,1,2,-1
Everton,Away,1,1,0
Aston Villa,Home,0,0,0
Tottenham,Away,1,3,-2
Everton,Home,1,2,-1
Norwich,Home,3,0,3
Watford,Away,5,1,4
Chelsea,Away,1,1,0
Southampton,Home,4,1,3
