Opponent,Location,Team Score,Opponent Score,Goal Differential
Southampton,Home,4,1,3
Chelsea,Away,2,2,0
Wolverhampton,Home,1,0,1
Nottingham Forest,Away,2,0,2
West Ham,Away,1,1,0
Fulham,Home,2,1,1
Leeds United,Home,6,2,4
Arsenal,Away,1,3,-2
Brighton,Away,1,0,1
Everton,Home,2,0,2
Manchester United,Away,0,2,-2
Newcastle United,Home,1,2,-1
Bournemouth,Away,3,2,1
Liverpool,Home,1,2,-1
Leicester City,Home,4,3,1
Brentford,Away,2,2,0
Aston Villa,Home,0,2,-2
Crystal Palace,Away,4,0,4
Arsenal,Home,0,2,-2
Manchester City,Away,2,4,-2
Fulham,Away,1,0,1
Manchester City,Home,1,0,1
Leeds United,Away,1,4,-3
West Ham,Home,2,0,2
Chelsea,Home,2,0,2
Wolverhampton,Away,0,1,-1
Nottingham Forest,Home,3,1,2
Southampton,Away,3,3,0
Everton,Away,1,1,0
Brighton,Home,2,1,1
Bournemouth,Home,2,3,-1
Newcastle United,Away,1,6,-5
Manchester United,Home,2,2,0
Liverpool,Away,3,4,-1
Crystal Palace,Home,1,0,1
Aston Villa,Away,1,2,-1
Brentford,Home,1,3,-2
Leicester City,Away,4,1,3
