name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Odysseas Vlachodimos,Nott'm Forest,Burnley,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0.0,0.0,0.0,Nott'm Forest,False,Manchester City,,-1.32
Odysseas Vlachodimos,Nott'm Forest,Manchester City,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0.0,0.0,0.0,Nott'm Forest,True,Brentford,,0.79
Odysseas Vlachodimos,Nott'm Forest,Brentford,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0.0,0.0,0.0,Nott'm Forest,False,Crystal Palace,,0.38
Odysseas Vlachodimos,Nott'm Forest,Crystal Palace,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0.0,0.0,0.0,Nott'm Forest,True,Luton,,
Odysseas Vlachodimos,Nott'm Forest,Luton,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0.0,0.0,0.0,Nott'm Forest,False,Liverpool,,-1.01
Odysseas Vlachodimos,Nott'm Forest,Liverpool,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,0.0,0.0,0.0,7.0,Nott'm Forest,True,Aston Villa,,0.64
Odysseas Vlachodimos,Nott'm Forest,Aston Villa,2023-11-05,True,90,0,1.26,3,0,7,0,1,0.0,1,1.4,0,12.86,1.0,3.0,2.0,Nott'm Forest,False,West Ham,,-0.22
Odysseas Vlachodimos,Nott'm Forest,West Ham,2023-11-12,False,90,3,1.54,3,0,2,0,0,0.03,1,1.8,0,22.5,0.5,3.0,1.0,Nott'm Forest,True,Brighton,,-0.66
Odysseas Vlachodimos,Nott'm Forest,Brighton,2023-11-25,True,90,3,1.46,2,0,1,0,0,0.0,1,2.0,0,30.0,0.33,2.67,2.0,Nott'm Forest,True,Everton,,0.53
Odysseas Vlachodimos,Nott'm Forest,Everton,2023-12-02,True,90,1,0.7,1,0,2,0,0,0.0,1,2.4,0,36.0,0.25,2.25,0.0,Nott'm Forest,False,Fulham,,0.86
Odysseas Vlachodimos,Nott'm Forest,Fulham,2023-12-06,False,90,5,2.52,1,0,0,0,0,0.0,1,2.4,0,40.91,0.2,2.0,0.0,Nott'm Forest,False,Wolverhampton,,-0.52
Odysseas Vlachodimos,Nott'm Forest,Wolverhampton,,False,0,0,0.0,0,0,0,0,0,,0,1.0,0,37.5,0.2,2.0,0.0,Nott'm Forest,True,Tottenham,,0.69
Odysseas Vlachodimos,Nott'm Forest,Tottenham,,True,0,0,0.0,0,0,0,0,0,,0,0.6,0,34.62,0.2,2.0,0.0,Nott'm Forest,True,Bournemouth,,1.22
Odysseas Vlachodimos,Nott'm Forest,Bournemouth,,True,0,0,0.0,0,0,0,0,0,,0,0.4,0,32.14,0.2,2.0,0.0,Nott'm Forest,False,Newcastle United,,-0.41
Odysseas Vlachodimos,Nott'm Forest,Newcastle United,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,30.0,0.2,2.0,0.0,Nott'm Forest,True,Manchester United,,0.38
Odysseas Vlachodimos,Nott'm Forest,Manchester United,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,28.12,0.2,2.0,0.0,Nott'm Forest,False,Brentford,,-0.53
Odysseas Vlachodimos,Nott'm Forest,Brentford,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,26.47,0.2,2.0,0.0,Nott'm Forest,True,Arsenal,,-0.11
Odysseas Vlachodimos,Nott'm Forest,Arsenal,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,25.0,0.2,2.0,0.0,Nott'm Forest,False,Bournemouth,,0.19
Odysseas Vlachodimos,Nott'm Forest,Bournemouth,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,23.68,0.2,2.0,0.0,Nott'm Forest,True,Newcastle United,,0.55
Odysseas Vlachodimos,Nott'm Forest,Newcastle United,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,22.5,0.2,2.0,0.0,Nott'm Forest,True,West Ham,,0.49
Odysseas Vlachodimos,Nott'm Forest,West Ham,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,21.43,0.2,2.0,0.0,Nott'm Forest,False,Aston Villa,,0.29
Odysseas Vlachodimos,Nott'm Forest,Aston Villa,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,20.45,0.2,2.0,0.0,Nott'm Forest,True,Liverpool,,0.18
Odysseas Vlachodimos,Nott'm Forest,Liverpool,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,19.57,0.2,2.0,0.0,Nott'm Forest,False,Brighton,,-0.6
Odysseas Vlachodimos,Nott'm Forest,Brighton,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,18.75,0.2,2.0,0.0,Nott'm Forest,False,Luton,,
Odysseas Vlachodimos,Nott'm Forest,Luton,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,18.0,0.2,2.0,0.0,Nott'm Forest,True,Crystal Palace,,0.88
Odysseas Vlachodimos,Nott'm Forest,Crystal Palace,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,17.31,0.2,2.0,0.0,Nott'm Forest,True,Fulham,,-0.13
Odysseas Vlachodimos,Nott'm Forest,Fulham,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,16.67,0.2,2.0,0.0,Nott'm Forest,False,Tottenham,,-0.36
Odysseas Vlachodimos,Nott'm Forest,Tottenham,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,16.07,0.2,2.0,0.0,Nott'm Forest,True,Wolverhampton,,0.05
Odysseas Vlachodimos,Nott'm Forest,Wolverhampton,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,15.52,0.2,2.0,0.0,Nott'm Forest,False,Everton,,-0.24
Odysseas Vlachodimos,Nott'm Forest,Everton,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,15.0,0.2,2.0,0.0,Nott'm Forest,True,Manchester City,,-0.96
Odysseas Vlachodimos,Nott'm Forest,Manchester City,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,14.52,0.2,2.0,0.0,Nott'm Forest,False,Sheffield,,-0.61
Odysseas Vlachodimos,Nott'm Forest,Sheffield,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,14.06,0.2,2.0,0.0,Nott'm Forest,True,Chelsea,,-0.25
Odysseas Vlachodimos,Nott'm Forest,Chelsea,,True,0,0,0.0,0,0,0,0,0,,0,0.0,0,13.64,0.2,2.0,0.0,Nott'm Forest,False,Burnley,,0.0
Odysseas Vlachodimos,Nott'm Forest,Burnley,,False,0,0,0.0,0,0,0,0,0,,0,0.0,0,13.24,0.2,2.0,,Newcastle,True,Southampton,,0.24
